#{"t_start": 1772342752.702262, "env_id": "highway-v0"}
r,l,t
22.861632,31,371.264349
62.092208,80,372.279393
60.104832,80,373.195902
45.411794,60,373.992414
21.000006,29,374.339565
61.032487,80,375.315404
60.958331,80,376.246698
57.276704,80,377.219069
20.777306,29,377.558963
20.598407,28,377.929501
59.47007,80,378.867939
15.329267,21,379.113596
58.557868,80,380.033369
60.617727,80,381.022994
56.770775,80,381.973837
59.959537,80,382.900412
59.037443,80,383.814782
4.537724,6,383.887335
57.970514,80,384.873377
60.10411,80,385.819285
59.170765,80,386.747337
62.876473,80,387.729245
58.045243,80,388.664533
59.235102,80,389.588342
60.890572,80,390.577035
25.578966,35,390.982789
61.168455,80,391.912741
57.169975,80,392.842702
56.436395,80,393.770878
58.692164,80,394.707402
60.262429,80,395.633022
61.01181,80,396.609938
58.52503,80,397.525913
61.7041,80,398.451695
44.848135,62,399.217331
26.058722,34,399.617114
59.57077,80,400.569957
24.839967,33,400.952849
61.492018,80,401.894306
63.892967,80,402.872649
62.760518,80,403.792874
60.237326,80,404.734582
63.70411,80,405.7109
29.636496,42,406.194816
63.170594,80,407.108238
60.407429,80,408.037398
60.637443,80,409.013164
31.958754,42,409.508915
59.125524,80,410.457729
64.881075,80,411.451363
66.21538,80,412.381056
61.984691,80,413.323091
62.494536,80,414.278757
28.997223,37,414.712352
12.12646,14,414.875311
43.848965,55,415.539547
39.221068,51,416.127424
33.074852,43,416.622075
37.633428,48,417.169377
57.365841,80,418.141144
61.570777,80,419.071188
36.620015,47,419.618141
59.970777,80,420.581091
8.197785,12,420.721908
31.240251,41,421.20354
63.501673,80,422.130806
65.170777,80,423.069921
60.567071,80,424.033752
9.54648,14,424.198389
60.186404,80,425.165321
62.352133,80,426.088105
61.023852,80,427.053598
64.636496,80,428.003522
40.502394,57,428.674073
58.078214,80,429.64166
57.70411,80,430.566354
37.702456,51,431.166937
59.021092,80,432.098946
60.435707,80,433.131684
58.90411,80,434.141177
4.574681,6,434.223828
59.320335,80,435.191182
60.369418,80,436.205241
42.188295,57,436.865364
27.370777,37,437.29398
34.570777,47,437.835971
15.399182,22,438.092143
63.026204,80,439.074574
4.380261,6,439.146181
59.025211,80,440.060937
59.611808,80,441.00921
57.633419,80,441.980691
18.280958,25,442.279199
61.868556,80,443.237288
59.131989,80,444.154645
59.971648,80,445.137177
60.492756,80,446.048968
58.06004,80,447.022654
58.27854,80,448.074205
58.609316,80,449.036121
22.10411,34,449.428564
56.993373,80,450.36257
61.037443,80,451.330871
59.70411,80,452.249182
56.770594,80,453.180692
54.077114,80,454.118973
44.426106,57,454.783772
63.557375,80,455.715185
37.392464,55,456.357917
5.975643,8,456.455619
14.784301,22,456.716383
56.637443,80,457.699218
56.237443,80,458.664349
60.445648,80,459.587891
58.636974,80,460.569389
57.837443,80,461.516995
60.768615,80,462.441097
49.954574,75,463.349306
60.637443,80,464.290187
57.231785,80,465.218349
57.492865,80,466.194028
55.737254,80,467.156614
53.437443,80,468.087011
60.503695,80,469.086447
62.491909,80,470.039554
56.10411,80,470.996614
56.50411,80,471.936443
54.178982,80,472.914166
53.835282,80,473.873449
57.638774,80,474.81019
55.435276,80,475.767818
55.43744,80,476.708431
64.903074,80,477.637737
54.878199,76,478.566133
61.970777,80,479.50947
64.091505,80,480.430548
16.583223,22,480.684984
9.979233,13,480.836986
59.153246,80,481.814507
43.804028,59,482.510078
15.772759,20,482.740786
46.686674,60,483.439576
47.640369,66,484.211133
16.370777,22,484.505323
58.770777,80,485.429617
60.492352,80,486.375328
61.91228,80,487.364437
62.365671,80,488.295015
58.90411,80,489.234615
58.692136,80,490.167823
57.372595,80,491.168002
57.17077,80,492.068978
59.778981,80,493.006794
58.602026,80,494.031851
60.10411,80,494.927761
58.563263,80,495.855513
63.673351,80,496.812647
60.899175,80,497.747213
10.5789,15,497.922119
57.122276,80,498.882317
57.437442,80,499.8357
56.235281,80,500.757603
62.626201,80,501.672667
56.237443,80,502.621392
61.570777,80,503.585057
62.974053,80,504.504581
56.637443,80,505.486037
60.815594,80,506.411363
60.290357,80,507.340561
60.356739,80,508.287843
19.437443,26,508.62725
62.47313,80,509.573147
61.058488,80,510.50586
30.398553,37,510.943629
59.232899,80,511.909013
56.223408,80,512.943028
61.837443,80,513.882313
56.370777,80,514.855822
56.770777,80,515.779016
53.437443,80,516.714856
56.50411,80,517.759148
60.499182,80,518.715171
61.025215,80,519.765205
58.600036,80,520.720015
58.901511,80,521.692206
64.243941,80,522.647832
61.970777,80,523.585617
43.137407,60,524.351569
65.568389,80,525.26432
58.947708,80,526.167691
59.43744,80,527.14102
57.300049,80,528.1012
53.437443,80,529.054862
56.637443,80,529.979816
61.560867,80,530.956164
61.109834,80,531.884382
60.699404,80,532.803181
59.403315,80,533.787162
15.628908,22,534.048678
65.570777,80,534.976106
65.437443,80,535.896311
24.50411,32,536.313389
56.263228,80,537.273944
28.504109,34,537.679942
59.837443,80,538.613521
46.814818,58,539.352404
62.770742,80,540.323864
24.460053,32,540.696592
60.90411,80,541.630937
57.77074,80,542.618261
56.237443,80,543.587631
56.10411,80,544.539908
59.925252,80,545.516837
57.592234,80,546.438782
53.837443,80,547.389008
59.970777,80,548.362251
58.524633,80,549.417617
53.570777,80,550.367149
25.924737,36,550.794275
58.891877,80,551.789088
56.793242,80,552.731493
58.39367,80,553.670152
59.210767,80,554.694424
64.90298,80,555.632302
32.36875,46,556.189634
58.901482,80,557.144103
61.292079,80,558.119909
60.60189,80,559.052313
18.526204,27,559.374611
61.704095,80,560.321236
14.293369,20,560.557518
65.026872,80,561.549167
60.433454,80,562.508653
62.841524,80,563.441559
56.605792,80,564.460013
61.304102,80,565.380363
63.220015,80,566.317396
64.71128,80,567.275445
61.837443,80,568.20977
18.804071,26,568.517042
18.892452,24,568.795561
61.502355,80,569.74657
56.987092,80,570.751776
33.758731,43,571.251932
59.837443,80,572.186877
63.026197,80,573.182455
53.70411,80,574.093034
21.737443,32,574.476426
58.991529,80,575.427469
63.037428,80,576.401409
56.904075,80,577.316495
64.853892,80,578.258579
61.014307,80,579.220935
65.699,80,580.18708
63.159531,80,581.122062
56.237443,80,582.073645
61.570358,80,583.060985
60.770777,80,583.992271
58.90411,80,584.965243
4.765275,7,585.047437
63.324442,80,586.038332
61.956622,80,586.99345
61.145137,80,587.926355
59.734631,80,588.909506
63.970361,80,589.863205
62.199156,80,590.787304
58.237443,80,591.7514
59.72468,80,592.685462
60.723667,80,593.617659
60.770777,80,594.586604
63.278477,80,595.526666
59.501638,80,596.466819
64.180961,80,597.459352
61.559355,80,598.390448
14.37058,20,598.623285
13.810992,16,598.814047
60.635279,80,599.744233
52.890037,71,600.61343
62.901653,80,601.577032
60.104109,80,602.52556
60.824932,80,603.447318
55.903926,80,604.420198
61.590564,80,605.455595
9.437406,14,605.622482
56.903162,80,606.667491
54.237443,80,607.658037
55.292871,80,608.600449
57.678477,80,609.557337
38.559992,49,610.19061
62.921203,80,611.125583
24.971966,31,611.492968
57.170777,80,612.419457
35.511064,47,613.004773
42.841566,56,613.659059
61.561371,80,614.628801
55.826124,70,615.444136
35.503915,45,616.017751
48.237443,71,616.83131
61.436496,80,617.75587
68.041152,80,618.678615
34.545644,49,619.280624
58.768616,80,620.216059
55.30411,80,621.141778
28.24524,39,621.59882
35.130646,46,622.173254
43.999911,59,622.849722
64.092869,80,623.778394
40.437402,53,624.396351
55.301949,80,625.377092
61.81181,80,626.307605
31.30411,47,626.852627
54.978799,80,627.762425
63.970768,80,628.803818
30.959537,41,629.301151
62.61136,80,630.242259
61.554345,80,631.243252
61.424964,80,632.196372
57.278477,80,633.113864
57.156739,80,634.048423
61.704074,80,635.015599
61.245233,80,635.962673
55.304024,80,636.905689
60.904075,80,637.896685
54.301076,80,638.850465
65.223729,80,639.782734
57.02472,80,640.755955
60.09056,80,641.684393
61.112315,80,642.601913
59.470355,80,643.576652
14.146041,20,643.817081
60.565462,80,644.7677
59.424719,80,645.721228
59.97077,80,646.715743
63.507352,80,647.645442
62.498152,80,648.580435
20.445642,30,648.926176
59.229383,80,649.914091
34.60411,47,650.474056
60.626124,80,651.443233
55.970776,80,652.380753
54.504095,80,653.362983
55.30411,80,654.301037
23.10411,29,654.639059
54.978065,80,655.646809
26.99876,38,656.09483
61.178798,80,656.999161
58.574931,80,657.950237
61.425155,80,658.905774
62.370758,80,659.868853
57.10185,80,660.79153
58.101859,80,661.787543
62.504109,80,662.730564
59.301948,80,663.638578
63.909732,80,664.553257
61.704095,80,665.535252
57.159531,80,666.484665
51.445648,69,667.309128
56.892673,80,668.343508
7.035175,11,668.475429
58.78221,80,669.376056
61.451833,80,670.333581
60.47846,80,671.291446
5.865863,8,671.385808
59.069499,80,672.315742
66.370691,80,673.238042
65.703665,80,674.27234
8.170691,10,674.388696
32.904103,38,674.830157
56.601884,80,675.790019
55.037443,80,676.745794
59.970777,80,677.697062
21.181222,30,678.044306
46.312315,60,678.73851
13.011644,16,678.922939
66.574931,80,679.882485
22.10411,33,680.271527
57.037443,80,681.196679
53.437443,80,682.128652
64.442389,80,683.107725
34.831865,38,683.553027
57.657075,80,684.470039
60.445613,80,685.388174
25.987576,30,685.743348
54.045648,80,686.708447
59.570777,80,687.635315
23.977911,28,687.960036
59.378902,80,688.935538
53.699181,80,689.860631
12.409703,15,690.038169
20.043375,22,690.300338
28.14418,35,690.706258
6.489788,8,690.800431
9.69209,12,690.941559
57.340864,80,691.848614
39.935233,50,692.476388
68.397663,80,693.397444
60.745058,80,694.319478
60.758135,80,695.295704
5.632904,7,695.379807
60.947109,80,696.329158
14.45827,21,696.572371
64.904075,80,697.515067
3.647806,5,697.576443
15.63648,21,697.818667
54.237443,80,698.781782
62.091922,80,699.715032
19.993546,27,700.027628
15.958575,20,700.264097
62.237246,80,701.249171
61.170777,80,702.189738
65.70411,80,703.129498
64.903665,80,704.114981
28.503911,36,704.536618
7.789757,10,704.654073
64.726888,80,705.611616
65.832478,80,706.534526
61.553952,80,707.535856
61.954037,80,708.4612
63.036931,80,709.378458
39.593386,54,710.021688
45.268198,61,710.768063
57.95857,80,711.731346
38.825535,53,712.359279
15.303061,18,712.567846
21.75888,30,712.920498
7.367599,10,713.040803
61.17074,80,714.032668
22.00411,29,714.374188
16.800291,20,714.612403
64.919214,80,715.557747
60.765849,80,716.507917
27.570777,42,716.993916
64.901931,80,717.927322
18.158866,26,718.226467
11.128144,13,718.380205
55.170773,80,719.356785
64.770697,80,720.320017
60.333008,80,721.27511
12.770777,20,721.511198
61.025181,80,722.510825
59.82553,80,723.429794
61.436496,80,724.349465
20.037443,27,724.654968
58.770777,80,725.641286
58.90411,80,726.588812
53.570777,80,727.574932
60.2781,80,728.541916
63.813632,80,729.514917
60.10411,80,730.469053
56.625533,80,731.409358
3.669044,5,731.469152
63.437363,80,732.460286
58.364783,80,733.405488
65.703679,80,734.371898
30.20411,39,734.890391
62.370777,80,735.82209
58.637443,80,736.763785
32.437443,42,737.266259
60.761167,80,738.260123
64.369829,80,739.189862
56.57301,80,740.122368
34.970777,46,740.698741
34.825547,46,741.265077
60.237443,80,742.185028
4.473124,6,742.256043
62.50411,80,743.199082
56.358547,80,744.217527
42.426166,60,744.920776
61.70822,80,745.902404
60.158814,80,746.877132
34.760321,41,747.430631
60.707387,80,748.361687
61.82676,80,749.278905
24.937434,36,749.713181
60.370777,80,750.698545
64.237443,80,751.69763
59.825868,80,752.676549
55.170761,80,753.650703
60.824301,80,754.605889
56.925803,80,755.534538
58.599553,80,756.530895
62.199495,80,757.522401
12.170758,17,757.727922
57.641847,80,758.717612
59.970777,80,759.712152
65.97811,80,760.643071
60.504103,80,761.577295
60.955253,80,762.563975
26.237443,37,762.994732
62.392263,80,763.949816
58.770777,80,764.891625
39.604103,59,765.624714
15.364947,21,765.871291
61.025183,80,766.829369
64.503921,80,767.747868
65.625887,80,768.767061
63.168608,80,769.702973
62.890486,80,770.649527
27.292971,40,771.111324
36.996255,47,771.701953
11.075353,13,771.859751
25.450587,28,772.184563
17.960375,20,772.420526
8.443852,10,772.535495
14.688769,16,772.725729
56.578901,80,773.659686
10.578529,14,773.826683
56.768597,80,774.793635
59.303927,80,775.758108
60.625709,80,776.698191
61.544725,80,777.634657
57.036932,80,778.638294
55.037443,80,779.585914
57.437443,80,780.541795
60.237443,80,781.541151
60.104109,80,782.628703
59.437443,80,783.668073
62.040523,80,784.704405
14.637443,22,784.964205
54.770777,80,785.964304
58.770777,80,786.968357
61.570777,80,787.959739
60.769829,80,788.899846
57.30411,80,789.881758
35.170777,51,790.516864
60.307386,80,791.495365
60.104107,80,792.509471
54.50411,80,793.446835
58.63744,80,794.447213
59.304011,80,795.372688
59.161535,80,796.311097
60.504094,80,797.305999
60.90411,80,798.246325
61.037443,80,799.177011
62.104093,80,800.146785
60.770774,80,801.069695
60.104109,80,802.03746
55.437443,80,803.023248
58.17853,80,803.953
58.499182,80,804.870572
25.20411,33,805.266787
64.637443,80,806.253409
22.770777,33,806.634358
62.637443,80,807.558599
66.4602,80,808.479508
56.344195,80,809.480015
63.911178,80,810.427269
65.037443,80,811.392135
62.637443,80,812.402832
59.826204,80,813.354214
61.826165,80,814.279176
24.50411,32,814.657125
68.174492,80,815.659655
8.94422,11,815.792515
59.301946,80,816.772927
58.770777,80,817.779859
67.703927,80,818.83962
5.305038,7,818.925561
58.964796,80,819.869528
61.692791,80,820.817079
61.570777,80,821.810374
63.226724,80,822.744647
57.170777,80,823.672218
62.499182,80,824.676853
46.637443,68,825.477571
16.037443,21,825.721594
60.878477,80,826.674284
58.637443,80,827.687841
47.837443,66,828.463072
60.178031,80,829.40783
13.802828,17,829.608612
61.70411,80,830.584153
