#{"t_start": 1772229770.224811, "env_id": "highway-fast-v0"}
r,l,t
7.712168,9,108.134228
6.518564,8,108.238298
12.253124,17,108.45333
3.597172,5,108.518061
3.012688,4,108.572102
17.982176,25,108.881901
7.697127,10,109.014642
19.478436,27,109.350841
9.829159,13,109.516896
17.076401,21,109.780053
21.517747,30,110.158695
3.711799,5,110.224076
4.546452,6,110.30289
5.278927,7,110.392958
5.545519,7,110.484626
4.946836,7,110.57512
5.563076,7,110.665882
23.183851,30,111.038608
3.464885,5,111.108242
6.231254,9,111.225986
3.668983,6,111.30501
1.881819,3,111.346247
2.033704,3,111.388318
3.464844,5,111.455822
6.530265,9,111.570162
22.575454,28,111.920804
3.648301,5,111.989512
9.297313,13,112.153027
7.16636,10,112.281502
17.917838,21,112.546242
16.497912,22,112.826226
6.796394,8,112.927524
2.846334,4,112.981498
19.182101,24,113.284841
2.082137,3,113.327943
12.33206,16,113.530224
10.612306,14,113.706904
14.999027,17,113.921092
7.812532,11,114.062575
10.981591,16,114.26547
23.711509,30,114.639803
8.832072,11,114.778858
3.966712,6,114.858479
3.232131,5,114.922907
3.681635,5,114.990476
9.310905,11,115.131787
20.233517,27,115.476067
22.816271,30,115.84914
10.411823,12,116.002948
11.566031,16,116.205715
5.211869,7,116.299087
19.012343,26,116.632069
4.512074,6,116.710899
12.631271,18,116.938322
10.3443,12,117.094705
3.398134,5,117.16214
3.479045,5,117.226516
15.83152,22,117.501071
8.032098,11,117.641735
17.54486,21,117.908614
2.564801,4,117.961632
5.685948,8,118.066937
13.529337,17,118.286824
4.132144,6,118.364515
14.747487,19,118.604339
10.57783,13,118.769648
7.846985,11,118.913951
24.933036,30,119.29066
22.352924,30,119.666951
17.645209,21,119.930602
7.746659,10,120.060383
7.552018,9,120.175034
22.477499,30,120.548743
10.785702,12,120.701153
23.077103,30,121.07937
24.286265,30,121.463649
9.431529,13,121.629991
5.812641,7,121.72261
7.298843,10,121.851562
5.930895,8,121.957915
24.649557,30,122.332226
16.342439,20,122.586006
4.183587,6,122.667005
20.765357,27,123.008066
10.778423,14,123.185871
14.595893,18,123.414955
19.319645,25,123.730127
21.876778,27,124.065823
4.349235,6,124.143745
9.27916,12,124.296396
12.697167,17,124.514497
19.476445,25,124.828256
1.766667,3,124.868194
13.979779,18,125.093584
1.213001,2,125.124231
1.666044,3,125.165836
9.3167,11,125.306983
1.915775,3,125.347972
9.830904,13,125.51624
3.448486,5,125.582863
11.615819,17,125.796336
6.36413,8,125.901095
1.882442,3,125.943373
16.916125,22,126.225704
9.745362,13,126.393445
1.899377,3,126.435061
4.879163,6,126.516117
24.497518,30,126.894791
2.784982,4,126.949269
13.809746,17,127.167565
11.245369,15,127.361362
10.098407,12,127.514032
3.778851,5,127.580142
20.21174,26,127.906144
4.132131,6,127.985457
10.566035,13,128.153842
5.280619,7,128.24455
2.013001,3,128.285007
4.712496,6,128.383758
4.385365,7,128.474788
3.046492,4,128.528365
15.409769,18,128.760129
10.512294,13,128.929327
8.87882,10,129.056423
12.578846,16,129.260502
6.945511,8,129.366334
25.244325,30,129.746035
5.399372,7,129.836711
4.397343,6,129.916444
16.635602,22,130.196208
12.416337,16,130.398778
5.31847,8,130.500186
5.179157,6,130.578644
6.645721,9,130.691984
12.564789,16,130.893187
5.552015,8,130.99546
7.513158,9,131.111609
14.450223,19,131.352242
3.480575,5,131.419216
3.878866,5,131.485515
13.309139,16,131.68806
19.9451,26,132.020103
2.432711,4,132.074496
9.017386,12,132.227426
14.476685,16,132.433613
16.078313,21,132.698475
23.151412,30,133.072258
1.699377,3,133.112601
16.246878,19,133.354314
12.278016,17,133.567602
1.180129,2,133.597829
3.046492,4,133.651832
3.085972,4,133.705319
5.046446,6,133.783428
21.931789,28,134.132747
16.230315,22,134.406971
2.466045,4,134.460921
2.212212,3,134.502317
4.578927,6,134.583932
9.282315,12,134.739682
3.649068,5,134.805028
8.579831,11,134.948393
3.068979,5,135.016146
7.947602,11,135.155454
20.944552,25,135.472272
11.533004,15,135.660798
2.013463,3,135.704037
22.197629,30,136.07294
12.148519,16,136.27805
10.963076,13,136.445661
9.265807,13,136.613073
9.167154,13,136.77617
3.078732,4,136.829226
4.945974,6,136.90653
2.746796,4,136.960455
9.218382,13,137.123593
16.63233,20,137.375148
2.013463,3,137.416425
8.167828,10,137.546694
3.581195,5,137.612355
2.878906,4,137.666575
5.879661,7,137.757375
4.618668,7,137.849349
4.515425,6,137.92774
11.877648,14,138.106473
3.802354,6,138.184958
8.430666,12,138.339633
1.946334,3,138.380722
19.316856,27,138.729541
1.848486,3,138.771998
4.985526,6,138.851501
16.143854,18,139.082963
21.785931,30,139.458948
11.175514,13,139.625059
8.753112,10,139.754627
23.118111,30,140.137052
7.411875,9,140.252532
8.58532,12,140.407031
8.879157,11,140.549139
5.478928,7,140.639785
11.085597,16,140.842512
14.413002,20,141.092277
3.834797,6,141.174045
15.296674,21,141.433147
23.013305,30,141.808325
12.564476,15,141.997524
6.915308,9,142.116523
9.615495,13,142.282234
3.084225,5,142.347129
7.847605,11,142.486157
7.169322,11,142.628704
2.632132,4,142.681963
23.718541,30,143.059634
2.019667,3,143.100528
2.564801,4,143.156234
11.549154,16,143.361235
9.099552,11,143.500948
14.197814,19,143.741407
14.080003,18,143.97458
10.851999,14,144.155156
5.598908,7,144.245255
2.746174,4,144.29768
15.629962,21,144.563467
17.06564,19,144.802008
7.399379,10,144.928552
3.013158,4,144.981936
23.098506,30,145.362469
13.710622,17,145.579468
2.179363,3,145.620869
2.632044,4,145.673296
10.578391,12,145.828796
18.464564,24,146.135585
13.943924,18,146.367163
12.450713,15,146.55597
12.218838,15,146.749263
14.468356,17,146.965751
3.945989,5,147.031938
5.680359,8,147.135036
16.066003,22,147.412798
9.379337,13,147.576735
18.747327,24,147.880096
13.216239,17,148.096751
5.514962,7,148.190317
7.112841,9,148.306446
8.298157,11,148.444286
1.668979,3,148.486039
1.213001,2,148.516194
16.010291,19,148.759229
2.813158,4,148.811466
2.279354,3,148.851913
11.178194,13,149.019396
13.712219,16,149.256975
1.913001,3,149.299634
1.819667,3,149.340721
10.866925,16,149.546586
2.633333,4,149.599423
10.911958,15,149.789081
10.144729,12,149.945435
24.174561,29,150.310454
23.515983,30,150.681577
12.285644,17,150.896462
9.011546,10,151.023058
12.085655,16,151.234067
7.363596,10,151.363051
3.766098,6,151.441171
21.944059,28,151.795436
2.566045,4,151.85186
9.899148,13,152.019284
6.812154,8,152.124622
18.229678,24,152.428467
7.464884,10,152.560562
12.410755,16,152.764742
6.465028,8,152.867402
22.584751,30,153.242439
14.544889,17,153.461508
16.178586,21,153.726575
28.028498,30,154.106426
10.252627,15,154.295681
2.013463,3,154.337995
2.880129,4,154.391509
24.531652,30,154.768986
16.345363,20,155.020666
7.335646,10,155.152682
1.913001,3,155.193789
2.879825,4,155.246878
3.349815,5,155.311696
7.552583,11,155.452169
2.782442,4,155.505846
18.332033,25,155.819741
25.163272,30,156.202254
2.013001,3,156.245892
14.44931,17,156.461815
23.632618,30,156.839591
15.97747,18,157.066657
1.8,3,157.108724
19.382326,24,157.412789
22.950757,30,157.795851
11.685237,14,157.974283
15.197763,19,158.214192
13.632591,18,158.440613
9.644105,13,158.606247
5.030929,7,158.695991
12.712641,14,158.877255
22.332316,30,159.250099
2.684973,4,159.304254
5.998711,8,159.406441
7.334718,11,159.549554
4.412419,6,159.628801
11.548915,15,159.818933
4.115647,6,159.896857
5.47978,7,159.98869
6.832398,9,160.103136
6.263382,8,160.208081
3.645407,5,160.271922
5.579313,7,160.3638
7.695918,9,160.48046
6.302266,8,160.584
4.466141,6,160.664459
25.6136,30,161.043927
23.977493,29,161.413459
20.776827,27,161.758059
21.680971,30,162.157178
10.512058,13,162.326789
2.013001,3,162.36745
6.569283,9,162.484088
20.066669,26,162.806155
22.619262,30,163.179496
11.079507,13,163.343315
9.565548,12,163.496786
1.984279,3,163.538088
19.042415,25,163.851299
6.812536,9,163.967969
6.732063,8,164.069962
7.482448,11,164.208689
16.017213,19,164.450684
2.878906,4,164.505068
3.684766,5,164.570505
5.545974,7,164.661701
11.383292,13,164.829614
6.246486,8,164.93247
4.745518,6,165.011247
11.578914,13,165.175101
14.611277,17,165.393205
2.845712,4,165.445706
3.012696,4,165.499083
7.246134,9,165.612788
7.198175,9,165.732232
3.586218,6,165.810521
2.946021,4,165.863483
1.732132,3,165.904439
20.614381,26,166.236739
14.277074,16,166.438146
5.250507,7,166.528185
6.013158,8,166.631003
14.478966,19,166.872741
7.61249,9,166.987122
8.115648,11,167.1285
4.931876,6,167.209218
18.982858,23,167.502172
2.880129,4,167.555884
8.347912,11,167.694429
5.319569,8,167.796986
7.963543,10,167.927948
9.6356,12,168.081799
10.684567,12,168.23625
9.079202,11,168.37558
15.032354,21,168.641826
14.045217,18,168.868918
9.43075,11,169.009035
9.811555,12,169.164328
9.665051,13,169.332719
5.366666,7,169.423313
9.295617,11,169.565242
7.412641,9,169.679496
9.830454,12,169.83588
18.25262,25,170.151599
16.076979,18,170.379582
6.131258,9,170.494838
2.648486,4,170.55022
5.898191,8,170.652917
7.119564,10,170.780956
2.632711,4,170.833723
15.680487,19,171.075518
9.745059,11,171.219541
4.012199,5,171.285375
7.383817,10,171.413663
11.982962,15,171.607656
7.152352,10,171.736257
2.531467,4,171.789296
5.897597,8,171.893138
6.166042,8,171.998919
2.498134,4,172.051836
10.613946,13,172.218107
3.845981,5,172.284377
7.868241,11,172.429376
5.567155,8,172.532213
14.896136,16,172.738809
5.715646,8,172.84148
5.251089,7,172.933687
12.169323,17,173.149768
